iter	Logloss
0	0.6804318024
1	0.6681817017
2	0.6559267453
3	0.6453946819
4	0.6347343446
5	0.6250453165
6	0.6150533418
7	0.6059651818
8	0.5976260524
9	0.5898299172
10	0.5822864258
11	0.575219292
12	0.568167835
13	0.5618668508
14	0.5551307803
15	0.549694585
16	0.5436124873
17	0.5375964248
18	0.5323844241
19	0.5269554642
20	0.521965902
21	0.5174226887
22	0.5130398928
23	0.5084987524
24	0.5044557599
25	0.5011194469
26	0.4974137323
27	0.4942950507
28	0.4913076612
29	0.4880227082
30	0.484676499
31	0.48190071
32	0.47907633
33	0.4765655914
34	0.4739793215
35	0.4715605502
36	0.4691327871
37	0.4667237597
38	0.4649375262
39	0.4628976563
40	0.4611170736
41	0.4593810642
42	0.4576927198
43	0.4556730983
44	0.4540845869
45	0.452613919
46	0.4510061382
47	0.4492857843
48	0.4480062431
49	0.4463081636
50	0.445014119
51	0.4437089839
52	0.4424711665
53	0.4411330312
54	0.4401046082
55	0.4387697855
56	0.4376405587
57	0.4365706295
58	0.4355926972
59	0.4345392525
60	0.4337579839
61	0.4328817593
62	0.4319183094
63	0.4310913334
64	0.4302016603
65	0.429444413
66	0.4286343102
67	0.4277011244
68	0.4270001987
69	0.4261841172
70	0.4256289393
71	0.4247652335
72	0.424046214
73	0.4236137582
74	0.4231937828
75	0.422591051
76	0.4219304398
77	0.4213653079
78	0.4207166894
79	0.4200560599
80	0.4195741596
81	0.4190804076
82	0.4185959258
83	0.4179875145
84	0.4174611533
85	0.4170814018
86	0.4165935828
87	0.4159745497
88	0.4153778425
89	0.4149588612
90	0.4145457038
91	0.4141205327
92	0.4135996582
93	0.413077946
94	0.412469125
95	0.4121135195
96	0.4117126076
97	0.4113307099
98	0.4110859169
99	0.4106830433
100	0.4103850219
101	0.410051196
102	0.4095348707
103	0.4091247038
104	0.4087161442
105	0.4082544663
106	0.4078687022
107	0.4075304047
108	0.407006284
109	0.4066129273
110	0.4061294015
111	0.4056870613
112	0.4053950005
113	0.4051183131
114	0.4047748014
115	0.4043437416
116	0.4040169983
117	0.4036796936
118	0.4034018739
119	0.4031078869
120	0.4029075967
121	0.4026585093
122	0.4022892205
123	0.4018988207
124	0.4016579033
125	0.4013620564
126	0.401041194
127	0.4006967731
128	0.4004619885
129	0.4000735861
130	0.3998507574
131	0.3995182085
132	0.3990812103
133	0.3987539194
134	0.3984962819
135	0.3981705184
136	0.3979737899
137	0.397779286
138	0.3974968043
139	0.3972342167
140	0.396995481
141	0.3967881006
142	0.396457264
143	0.3960720801
144	0.3957414847
145	0.3954748129
146	0.3952676009
147	0.3950632997
148	0.3947622192
149	0.3945308375
150	0.3942078186
151	0.393835871
152	0.3935612964
153	0.3932803881
154	0.3929329331
155	0.3926386789
156	0.3923889923
157	0.3921098737
158	0.3918582527
159	0.3916470384
160	0.391498404
161	0.3912355812
162	0.391019211
163	0.3907677438
164	0.3905937784
165	0.3904243508
166	0.3901846052
167	0.3898831648
168	0.3896377415
169	0.3894309369
170	0.3892180428
171	0.3890447436
172	0.3887960674
173	0.3885982131
174	0.3884767483
175	0.3883136726
176	0.3880409392
177	0.3877586523
178	0.3875375751
179	0.3873210756
180	0.3870581904
181	0.3868816427
182	0.3867105361
183	0.3865278338
184	0.3863165725
185	0.3859852813
186	0.3857608965
187	0.3854861632
188	0.3851579143
189	0.3848835141
190	0.3847222514
191	0.384564115
192	0.384346087
193	0.384088835
194	0.3839239004
195	0.3838184283
196	0.3836393876
197	0.3833378441
198	0.3832696896
199	0.3831449569
200	0.3829858448
201	0.3827702045
202	0.3825474919
203	0.38247774
204	0.3823151959
205	0.3821169532
206	0.3819731912
207	0.381820778
208	0.3815756299
209	0.3814531891
210	0.3812333548
211	0.3810091713
212	0.3809087859
213	0.3807300112
214	0.380493892
215	0.38031542
216	0.3802351233
217	0.3802013829
218	0.3800638064
219	0.379735208
220	0.3795734501
221	0.3792538431
222	0.3789945147
223	0.37880666
224	0.3787072478
225	0.3783634959
226	0.3781302743
227	0.377904519
228	0.3778014598
229	0.3776373196
230	0.3774508145
231	0.3773140658
232	0.3771399555
233	0.3770707694
234	0.3768746554
235	0.3767780092
236	0.3766105749
237	0.3764170271
238	0.3763200384
239	0.3761726038
240	0.3760189965
241	0.3758817914
242	0.3757892788
243	0.3755634186
244	0.3753172681
245	0.3752174335
246	0.3750632159
247	0.3749905465
248	0.3749783246
249	0.3747561159
250	0.3745438868
251	0.3744268567
252	0.3743131917
253	0.3740154058
254	0.3738676189
255	0.3737577386
256	0.3735750196
257	0.3733928626
258	0.3732471031
259	0.3729837447
260	0.3728017941
261	0.3726936561
262	0.3725731468
263	0.3723537769
264	0.3721099699
265	0.3720386895
266	0.3719257315
267	0.3717467014
268	0.3715195809
269	0.3713473799
270	0.3712349357
271	0.3711516283
272	0.3710240056
273	0.3708837355
274	0.370613957
275	0.3704542758
276	0.3702492802
277	0.3700615937
278	0.3699241498
279	0.3698707158
280	0.3697456032
281	0.3695931882
282	0.369470022
283	0.3692325227
284	0.3691135083
285	0.368959975
286	0.3688221874
287	0.3686846885
288	0.3684655325
289	0.3683215773
290	0.3682480985
291	0.3680803048
292	0.3678894335
293	0.3677494419
294	0.3675900919
295	0.3674249439
296	0.3673170363
297	0.3671393295
298	0.3668939099
299	0.3667905281
300	0.3666537991
301	0.3663766448
302	0.3662340762
303	0.3660878912
304	0.3660225439
305	0.3659124794
306	0.3657487325
307	0.3656277997
308	0.3655203154
309	0.3653180671
310	0.3652485794
311	0.3650840754
312	0.3648336914
313	0.3646740398
314	0.3645021127
315	0.3644120935
316	0.364160594
317	0.3640690561
318	0.3639538913
319	0.3637553287
320	0.3636054672
321	0.3634715516
322	0.3634007144
323	0.3631942049
324	0.3629830948
325	0.3629657487
326	0.3628194614
327	0.36275343
328	0.3626418419
329	0.3625492161
330	0.3624930632
331	0.3623621248
332	0.362227633
333	0.3620606583
334	0.3619918348
335	0.3618409432
336	0.3617469557
337	0.3616655994
338	0.361486634
339	0.3614171021
340	0.3613321773
341	0.3611772357
342	0.3611019846
343	0.3609705875
344	0.3608110814
345	0.3606092787
346	0.360529471
347	0.3604407386
348	0.3603338961
349	0.3602445332
350	0.3601476724
351	0.3600059416
352	0.3598848767
353	0.3597879375
354	0.3595115409
355	0.3592957552
356	0.3592162798
357	0.3590877399
358	0.3589919903
359	0.3588772345
360	0.3587683511
361	0.3585814436
362	0.3584959963
363	0.3584167533
364	0.3583828602
365	0.3582118138
366	0.3581301864
367	0.3579342226
368	0.3577433304
369	0.3575480669
370	0.3574585817
371	0.3572995435
372	0.3571832017
373	0.356940382
374	0.3567326756
375	0.3565697368
376	0.3564547844
377	0.356181411
378	0.3560992849
379	0.3559886393
380	0.3558713134
381	0.3557314902
382	0.3555624785
383	0.3554773592
384	0.3553284653
385	0.3552305789
386	0.3551760577
387	0.354932739
388	0.3548420976
389	0.3547433527
390	0.354463835
391	0.3543843962
392	0.3542240358
393	0.3540883657
394	0.3539059656
395	0.3538596658
396	0.3537719335
397	0.3536219462
398	0.353485713
399	0.3534292305
400	0.3533272981
401	0.3532974648
402	0.3531248857
403	0.3529623832
404	0.3528223238
405	0.352681439
406	0.352516585
407	0.3523147069
408	0.3521664675
409	0.3520108021
410	0.3518902304
411	0.3517400319
412	0.3515795318
413	0.3514067226
414	0.3512729249
415	0.3511247573
416	0.3509657532
417	0.3508467595
418	0.350623592
419	0.3504182034
420	0.3502739714
421	0.3501004492
422	0.3499824915
423	0.3498281328
424	0.3497077048
425	0.349579955
426	0.3494873288
427	0.3494058985
428	0.3493227205
429	0.3491169042
430	0.3489741444
431	0.3488827728
432	0.3487408058
433	0.3485810317
434	0.3483571951
435	0.3481527106
436	0.3480343577
437	0.3479119162
438	0.347793829
439	0.3476671601
440	0.3475759582
441	0.3474112018
442	0.3472240599
443	0.3470741062
444	0.3469293036
445	0.3467479467
446	0.3465796175
447	0.3464972068
448	0.3463412041
449	0.3461517025
450	0.3459759021
451	0.3458278319
452	0.3456851407
453	0.3455506144
454	0.3454037199
455	0.3452433269
456	0.3450897857
457	0.3449753998
458	0.3448773028
459	0.3447500141
460	0.3446285159
461	0.3445061843
462	0.3443874331
463	0.3442687646
464	0.3441139626
465	0.3439040835
466	0.3438175229
467	0.3436210899
468	0.3434379065
469	0.3433222461
470	0.3431817118
471	0.3431097184
472	0.342964191
473	0.3428459002
474	0.3427013036
475	0.3426116928
476	0.3424532897
477	0.3422977763
478	0.3421880888
479	0.3420979849
